Q,q,dq
Q,,
1.1(3),1.1,0.30000000000000004
0.77(11),0.77,0.11
0.00117(4),0.00117,4e-05
0.6(2),0.6,0.2
0.44(5),0.44,0.05
0.6(1),0.6,0.1
0.8(1),0.8,0.1
0.536(12),0.536,0.012
1.00(4),1.0,0.04
0.89(9),0.89,0.09
0.894(6),0.894,0.006
0.87(18),0.87,0.18
0.8(3),0.8,0.30000000000000004
0.680(10),0.68,0.01
0.87(6),0.87,0.06
0.9(3),0.9,0.30000000000000004
0.8(2),0.8,0.2
0.62(5),0.62,0.05
0.13(2),0.13,0.02
0.006(2),0.006,0.002
0.001980(18),0.00198,1.8e-05
0.01782(5),0.01782,5e-05
0.00158(2),0.00158,2e-05
0.01311(9),0.01311,9e-05
0.1612(15),0.1612,0.0015
0.000435(5),0.000435,4.9999999999999996e-06
0.003534(16),0.003534,1.6e-05
0.00242(2),0.00242,2e-05
0.01134(2),0.01134,2e-05
0.000813(8),0.000813,8e-06
0.00190(4),0.0019,4e-05
0.002483(7),0.002483,7e-06
0.00550(8),0.0055,8e-05
0.0037(5),0.0037,0.0005
0.1541(6),0.1541,0.0006000000000000001
0.005385(10),0.005385,9.999999999999999e-06
0.1684(4),0.1684,0.0004
0.030(4),0.03,0.004
0.0088(6),0.0088,0.0006000000000000001
0.00547(6),0.00547,6.000000000000001e-05
0.006691(7),0.006691,7e-06
0.02(1),0.02,0.01
0.009(3),0.009,0.003
0.0119(6),0.0119,0.0006000000000000001
0.00548(8),0.00548,8e-05
0.0270(4),0.027,0.0004
0.00546(8),0.00546,8e-05
0.005,,
0.0068(8),0.0068,0.0008
0.0078(7),0.0078,0.0007
0.005(1),0.005,0.001
0.005(4),0.005,0.004
0.0114(2),0.0114,0.0002
0.026(6),0.026,0.006
0.008(3),0.008,0.003
0.004(2),0.004,0.002
0.0057(3),0.0057,0.00030000000000000003
0.022(2),0.022,0.002
0.014(11),0.014,0.011
0.84(3),0.84,0.03
0.81(4),0.81,0.04
0.214(7),0.214,0.007
0.0026(1),0.0026,0.0001
0.0040(7),0.004,0.0007
0.0049(3),0.0049,0.00030000000000000003
0.36(8),0.36,0.08
0.016(2),0.016,0.002
0.0112(19),0.0112,0.0019
0.042(3),0.042,0.003
0.102(3),0.102,0.003
0.03(2),0.03,0.02
0.00263(8),0.00263,8e-05
0.008(4),0.008,0.004
0.007(4),0.007,0.004
0.009(2),0.009,0.002
0.12(5),0.12,0.05
1.4(2),1.4,0.2
0.0058(2),0.0058,0.0002
0.007(3),0.007,0.003
0.975(6),0.975,0.006
0.005(2),0.005,0.002
0.0061(8),0.0061,0.0008
0.0040(4),0.004,0.0004
0.023(6),0.023,0.006
0.002(1),0.002,0.001
0.0053(4),0.0053,0.0004
0.97(11),0.97,0.11
0.01748(8),0.01748,8e-05
0.0129(12),0.0129,0.0012000000000000001
0.00849(7),0.00849,7.000000000000001e-05
0.006(1),0.006,0.001
0.0061(9),0.0061,0.0009000000000000001
0.00006(2),6e-05,2e-05
0.0077(5),0.0077,0.0005
0.0102(9),0.0102,0.0009000000000000001
0.007(1),0.007,0.001
0.073(7),0.073,0.007
0.125(14),0.125,0.014
0.14(10),0.14,0.1
0.0016(5),0.0016,0.0005
0.103(9),0.103,0.009000000000000001
0.0302(6),0.0302,0.0006000000000000001
0.008(1),0.008,0.001
0.0068(4),0.0068,0.0004
0.0003(2),0.0003,0.0002
0.0014(1),0.0014,0.0001
0.0021(3),0.0021,0.00030000000000000003
0.0050(19),0.005,0.0019
0.024(5),0.024,0.005
0.0064(9),0.0064,0.0009000000000000001
0.009(2),0.009,0.002
0.0137(3),0.0137,0.00030000000000000003
0.0094(11),0.0094,0.0011
0.0030(17),0.003,0.0017000000000000001
0.00630(16),0.0063,0.00016
0.0071(5),0.0071,0.0005
0.00602(9),0.00602,9e-05
0.27(2),0.27,0.02
1.0,,
0.0066(3),0.0066,0.00030000000000000003
0.002(1),0.002,0.001
0.0009(2),0.0009,0.0002
0.06(2),0.06,0.02
0.00014(20),0.00014,0.0002
0.63(5),0.63,0.05
0.023(9),0.023,0.009000000000000001
0.018(5),0.018,0.005
0.0145(22),0.0145,0.0022
8.7(2.5),,
0.0022(2),0.0022,0.0002
0.22(5),0.22,0.05
0.0089(2),0.0089,0.0002
0.2(3),0.2,0.30000000000000004
0.185(10),0.185,0.01
0.0046(7),0.0046,0.0007
0.0029(1),0.0029,0.0001
